Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
YX15211T,0,0.0151070269860845,0.0630685406720632,0.051568244000613,0,0.378942173238254,0.0135389731609837,0,0,0,0.0319857560039065,0,0.0941882991945413,0.14023199857727,0,0.166010439783223,0,0.0135541188063505,0,0.0215960534869627,0.0102083760897472,0,0,0.14391952901117,1.02957003846561
YX15214T,0,0.00995676796375121,0,0.0115554240671075,0,0.367095273631747,0,0,0,0,0,0,0.0344596001927757,0.314958224885394,0,0,0,0,0,0.136728459234029,0.0175481568958461,0.107698093129349,0,0.133489096715251,1.05700969414104
YX16009T,0,0.0117786525335521,0.0534211306718216,0.155813128092755,0,0.290470090911825,0.017377295240455,0.00819137785125528,0,0,0.0386984913667605,0,0.0524851926978959,0.0371662588704253,0.108691479306314,0.196524292304108,0,0,0.0293826101528326,0,0,0,0,0.218429036197439,1.00029493774325
YX16011T,0,0.107600801410894,0.081768999447353,0,0.0334178362201904,0.168331603802168,0,0.0382409624903839,0,0,0.0713524064183633,0,0,0.30328517788631,0,0.116263873076146,0,0.0464035918794792,0,0.0333347473687121,0,0,0,-0.0237224353087021,1.10642594852489
YX16068T,0,0.220654932642788,0.00707024772033445,0,0,0.0943584758229308,0,0.028172228864412,0,0,0.129539758152934,0,0.00108610517100989,0.224190453022416,0,0.0518816661827774,0,0.163341764363082,0,0.0797043680573164,0,0,0,-0.0470469421958522,1.11055725710701
YX16070T,0,0.100418263304549,0.0556592133120182,0.0181883488113784,0,0.281873340242515,0.0308253899788644,0.0019869067916124,0,0,0.07848139061861,0,0.0130190826762646,0.0870598948874064,0.055739810974253,0.208387552642406,0,0.0309935271701084,0.0140590917244509,0,0,0.0233081868655639,0,0.163495336845408,1.01438034927922
YX16075T,0.171056822637388,0.240288703720866,0.0348242415085326,0.0624710398426049,0.116619268419053,0.116387782422769,0.00145838680109722,0,0,0,0,0.0212063669703976,0.0426898487316127,0.0245801175640668,0.0293331376240531,0.127747396577356,0,0.011336887180203,0,0,0,0,0,0.525246702895527,0.850202841716502
YX16079T,0,0.0946277774541828,0.0436555021988708,0,0,0.282311613473103,0,0.0977593144560356,0,0,0.0388708813622695,0.000171597402848982,0.0225347198418738,0.13116790461343,0.0969444396200346,0.130975694478421,0,0.0132080755961984,0.0477724795027312,0,0,0,0,0.0775748464249263,1.05246696524521
YX16087T,0,0.0280215534360899,0.0258978650581904,0.06209759977486,0,0.162572056436271,0,0.0719274268015992,0,0,0.0895708863829264,0.00250076428176416,0.0299293781193236,0.264006617176393,0.0779030050195953,0.144885977676603,0,0,0,0.031108717107441,0.00957815272894312,0,0,0.00928023841435192,1.09088228036751
YX16094T,0.0180547627090519,0.277372426733825,0.0266780873669624,0.00722665827062636,0,0.182884926117096,0.00774504406497531,0.00415502016189143,0,0,0.12278081411397,0,0,0.19835201508223,0.0237899403280091,0.095429046484732,0,0.00250200120361168,0,0.0330292573630187,0,0,0,0.24651435708096,0.990498944653977
YX16172T,0,0.0469420630630583,0.0966900111186939,0,0.020026889642845,0.19555669006197,0,0.0378880750279521,0,0,0.0573248012020345,0,0.0178083309007928,0.0100418415712465,0.0282562443674729,0.262116946305678,0,0.134587118733219,0.0927609880050366,0,0,0,0,0.20963059286883,0.993260334325691
YX16295T,0,0.135690617475924,0.0412704235796472,0.0398482139090678,0,0.276191356598573,0,0.0366082695945729,0,0,0.0565483485010209,0.0279471146390323,0.0369582108228541,0.144151942791035,0,0.0883659881539969,0.00676435405390838,0.0660436334760591,0.0436115264043081,0,0,0,0,-0.0320382266880544,1.09321780560857
YX16327T,0,0.102826879093287,0.10105124653257,0.0761207045122013,0,0.167386761810089,0,0.0351716862321336,0,0,0.0480248314234433,0.006984820686319,0.00787588610164733,0.0618912303778105,0.0645003195961187,0.260152437125559,0,0.0680131965088208,0,0,0,0,0,0.0173166777658721,1.07862264623231
YX16335T,0,0.0224135139766876,0.0287015703027178,0.047982964417944,0,0.191058201639968,0,0.0349336132369397,0,0,0.0213609665618748,0.000203101857306741,0.0745384602946322,0.251546604324271,0.00525563164325894,0.272248922970852,0.0021775576831078,0.000776447737637863,0.0446617507578394,0,0,0.00214069259496173,0,0.0493510599841304,1.07667171935328
YX16341T,0,0.0871313282824628,0.0221277937408297,0,0,0.263687537317764,0.0212102848681177,0.0554386995150009,0,0,0.0643946670460901,0,0.0201571016549457,0.195302760728661,0.0785278825430439,0.172976299826772,0,0,0,0.0190456444763126,0,0,0,0.0251637928741241,1.07598635148812
YX16343T,0,0.0194612363337114,0.0874517027070491,0,0,0.221509916656886,0,0.00167614548451505,0,0,0.0756334882551766,0,0,0.159490364727891,0,0.31572031773312,0,0.116427290782504,0.00262953731914688,0,0,0,0,0.0844815066111068,1.05596929883721
YX16347T,0,0.0992268188464359,0.0243966039422881,0,0.00383815351976327,0.0991206058691469,0.00458660895288774,0,0,0,0.0727227551304914,0,0,0.368564057684945,0.000761763327691022,0.289085636347618,0,0.0175114958644613,0.0079621947199997,0.0122233057942721,0,0,0,0.211390791915058,1.02428146439312
